"site_code" "author_crop" "author" "crop" "ant_percent" "apis_percent" "bee_percent" "other_hymenoptera_percent" "coleoptera_percent" "other_diptera_percent" "hemiptera_percent" "lepidoptera_percent" "other_percent" "syrphidae_percent" "nonbee_percent" "fruitset_sc" "bee_sc" "nonbee_sc" "apis_sc" "distance_sc"
"22" "car_han_10" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 96.5346534653465 0.495049504950495 0 1.48514851485149 0 0.99009900990099 0 0 0.495049504950495 2.97029702970297 0.62728271088206 1.89736659610103 -0.415687038451393 2.39824067421199 -0.601801827588847
"23" "car_han_2" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 91.5254237288136 0 0 1.69491525423729 0 1.69491525423729 3.38983050847458 0 1.69491525423729 8.47457627118644 0.348264887847716 -0.474341649025257 -0.466955790118008 -0.355888133931768 -0.681781769095529
"24" "car_han_3" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 76.7857142857143 0 0 16.0714285714286 7.14285714285714 0 0 0 0 23.2142857142857 -0.534058162330987 -0.474341649025257 -0.456702039784685 -1.07469622002886 0.582153212037602
"25" "car_han_4" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 10.4166666638021 85.4166666731771 0 0 0 4.16666666302083 0 0 0 0 14.5833333268229 -1.33992818577149 -0.474341649025257 -0.484045374143596 -0.876763558665852 1.12249013969691
"26" "car_han_5" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 96.2962962997942 0 0 1.85185185010288 1.85185185010288 0 0 0 0 3.70370370020576 -0.923825697087013 -0.474341649025257 -0.586582877476827 -0.0563847647506892 1.20184031788464
"27" "car_han_6" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 1.10701107017606 84.5018450219632 0 1.47601475875873 5.5350553508803 7.3800737982217 0 0 0 0 15.4981549780368 -0.0883713801271553 -0.474341649025257 -0.00553702532354698 0.0803450342351713 1.23332848383215
"28" "car_han_7" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 86.8266504704382 0.759416767945304 0 3.03766707178122 1.01255568958118 0.759416767945304 6.59173754272757 0 1.01255568958118 12.4139327616165 1.0715829950882 1.89736659610103 0.114773645117393 0.822592514522259 0.148876048599836
"29" "car_han_8" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 85.9375000004394 0 0 4.68749999985352 0 0 9.37499999970703 0 0 14.0624999995605 1.13208704237026 -0.474341649025257 -0.415687038451393 -0.69445715996595 -1.57541591868592
"30" "car_han_9" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 83.3052276562681 0 0 0 4.38448566771696 1.68634063909467 9.61214165245174 0 1.0118043844686 16.694772343732 -1.38556778520728 -0.474341649025257 -0.0465520264517641 -0.124098569910647 -0.917943013701869
"31" "car_min_1" "Carvalheiro_Mangifera_indica" "Carvalheiro" "Mangifera_indica" 25.075698161814 3.85154509065968 2.57840237439194 29.9721181971313 35.6067189999418 2.63494628611106 0 0 0.228437403345251 0.05213348660503 93.5700525349484 0.124905935017035 -0.369666737019308 -0.341905546519836 -0.869163669547162 1.43393148320113
"32" "car_min_2" "Carvalheiro_Mangifera_indica" "Carvalheiro" "Mangifera_indica" 88.4090634559414 1.32822832249517 0 6.24054419668885 1.61687329267188 1.09459012200955 1.31070061019318 0 0 0 98.6717716775048 -1.44360310640221 -0.562892834459728 1.48532544657843 -0.861777346521886 -0.81622367353502
"33" "car_min_3" "Carvalheiro_Mangifera_indica" "Carvalheiro" "Mangifera_indica" 13.6512442779657 7.59025277305559 23.4742571935009 4.47606357896468 21.4003719171142 1.49685756638527 25.1412583759942 0 0 2.76969431701944 68.9354900334435 0.783701839919734 1.49381676397359 -0.463996485038746 0.82179030653582 -0.517226104495532
"34" "car_min_4" "Carvalheiro_Mangifera_indica" "Carvalheiro" "Mangifera_indica" 21.948556432222 13.6613939814764 0.0326459362152534 0.0326459362152534 47.1809050028629 6.91332673084779 0.0646152727162011 0 3.26459362152534 6.90131708591886 86.3059600823083 0.534995331465446 -0.561257192494553 -0.679423415019851 0.909150709533229 -0.100481705170574
"35" "cha_cpa_1" "Chacoff_Citrus_paradisi" "Chacoff" "Citrus_paradisi" 0 71.3827523655738 21.4985293181273 4.27123099148786 0 2.84748732481109 0 0 0 0 7.11871831629895 NA 0.269034214750308 -0.280179056711448 -1.12074489311623 NA
"36" "cha_cpa_2" "Chacoff_Citrus_paradisi" "Chacoff" "Citrus_paradisi" 0 79.4573661282971 12.721343773606 7.39271528264871 0 0 0 0.42857481544819 0 0 7.8212900980969 NA 1.28565909219259 1.46825447897382 -0.549355447437018 NA
"37" "cha_cpa_3" "Chacoff_Citrus_paradisi" "Chacoff" "Citrus_paradisi" 0 98.8334656606398 0.654766340179415 0 0.0670421787561632 0.399015243999911 0 0.0457105764246567 0 0 0.511767999180731 NA -0.959233501030134 -0.767194975867098 0.680904292668571 NA
"38" "cha_cpa_4" "Chacoff_Citrus_paradisi" "Chacoff" "Citrus_paradisi" 0 97.7396255023208 1.36399850692475 0.670620893452964 0.0811234951234241 0.0519190368789914 0 0.0927125652990664 0 0 0.896375990754446 NA -0.595459805912768 -0.420880446395272 0.98919604788468 NA
"39" "cun_asq_1" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 -0.10750852936584 0 -0.97866618527518
"40" "cun_asq_2" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 0.618174043853581 0 -0.94176117549525
"41" "cun_asq_3" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 1.19872010242912 0 -0.929459505568607
"42" "cun_asq_4" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 -0.688054587941377 0 -0.375884358869657
"43" "cun_asq_5" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 -0.591296911512121 0 -0.31437600923644
"44" "cun_asq_6" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 1.82764499921928 0 0.116182438196076
"45" "cun_asq_7" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 -0.301023882224352 0 0.485232535995376
"46" "cun_asq_8" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 -1.00251703633646 0 0.977299333061109
"47" "cun_asq_9" "Cunningham_Annona_squamosa_atemoya" "Cunningham" "Annona_squamosa_atemoya" 0 0 0 0 100 0 0 0 0 0 100 NA 0 -0.954138198121831 0 1.96143292719257
"48" "cun_bra_1" "Cunningham_Brassica_napus" "Cunningham" "Brassica_napus" 0 48.6301369863014 15.2397260273973 0 0 0 0 0 0 36.1301369863014 36.1301369863014 NA -0.410439509710118 -0.484842057718219 -0.24429465219292 NA
"49" "cun_bra_2" "Cunningham_Brassica_napus" "Cunningham" "Brassica_napus" 0 61.2804878138292 4.57317072918092 0 0 0 0 0 0 34.1463414569899 34.1463414569899 NA -0.827661911002155 -0.506181258366451 0.203927507184494 NA
"50" "cun_bra_3" "Cunningham_Brassica_napus" "Cunningham" "Brassica_napus" 0 70.1346389219028 8.56793145612886 0 0 0 0 0 0 21.2974296219683 21.2974296219683 NA -0.791963737564287 -0.720792647585409 -0.379110563774461 NA
"51" "cun_bra_4" "Cunningham_Brassica_napus" "Cunningham" "Brassica_napus" 0 29.0370370273361 33.1851851920878 0 0 0 0 0 0 37.7777777805761 37.7777777805761 NA 1.81610281111711 -0.00201771436805738 0.274876039827487 NA
"52" "cun_bra_5" "Cunningham_Brassica_napus" "Cunningham" "Brassica_napus" 0 15.9459459462513 22.1621621594624 0 0 0 0 0 0 61.8918918942863 61.8918918942863 NA -0.207811809807707 -0.265702789967705 -1.4556057753245 NA
"53" "cun_bra_6" "Cunningham_Brassica_napus" "Cunningham" "Brassica_napus" 0 24.580380459445 8.95188362538615 0 0 0 0 0 0 66.4677359151688 66.4677359151688 NA 0.421774156967155 1.97953646800584 1.6002074442799 NA
"54" "fre_amu_1" "Freitas_Annona_muricata_L" "Freitas" "Annona_muricata_L" 7.5 0 0 0 92.5 0 0 0 0 0 100 -0.571963615973649 0 -0.638614523634463 0 NA
"55" "fre_amu_2" "Freitas_Annona_muricata_L" "Freitas" "Annona_muricata_L" 13.7404580152672 0 0 0 86.2595419847328 0 0 0 0 0 100 0.504673778800279 0 -0.127722904726893 0 NA
"56" "fre_amu_3" "Freitas_Annona_muricata_L" "Freitas" "Annona_muricata_L" 11.7647058823529 0 0 0 88.2352941176471 0 0 0 0 0 100 -1.0654224219117 0 -0.685059216262424 0 NA
"57" "fre_amu_4" "Freitas_Annona_muricata_L" "Freitas" "Annona_muricata_L" 7.27272727272727 0 0 0 92.7272727272727 0 0 0 0 0 100 1.13271225908507 0 1.45139664462378 0 NA
"58" "fre_asq_1" "Freitas_Annona_squamosa" "Freitas" "Annona_squamosa" 7.05882352941176 5.88235294117647 0 0 87.0588235294118 0 0 0 0 0 94.1176470588235 0.393919298579168 0 -0.618589574131742 -0.240192230707631 NA
"59" "fre_asq_2" "Freitas_Annona_squamosa" "Freitas" "Annona_squamosa" 9.52380952380952 9.52380952380952 0 0 80.9523809523809 0 0 0 0 0 90.4761904761905 -0.131306432859723 0 -0.866025403784439 1.20096115353815 NA
"60" "fre_asq_3" "Freitas_Annona_squamosa" "Freitas" "Annona_squamosa" 14.7826086956522 2.60869565217391 0 0 82.6086956521739 0 0 0 0 0 97.3913043478261 1.05045146287778 0 1.36089706308983 -1.20096115353815 NA
"61" "fre_asq_4" "Freitas_Annona_squamosa" "Freitas" "Annona_squamosa" 7.14285714285714 6.12244897959184 0 0 86.734693877551 0 0 0 0 0 93.8775510204082 -1.31306432859723 0 0.123717914826348 0.240192230707631 NA
"62" "gar_app_1" "garrett_apple" "garrett" "apple" 0 28.5714285714286 57.1428571428571 0 0 14.2857142857143 0 0 0 0 14.2857142857143 -0.790096331190787 0.375604321754647 -1.76464460677931 0.48719559784731 -0.347075060052424
"63" "gar_app_2" "garrett_apple" "garrett" "apple" 0 31.8181818181818 36.3636363636364 0 9.09090909090909 22.7272727272727 0 0 0 0 31.8181818181818 0.522510757341491 -0.256992430674232 -0.481266710939811 0.787008273445654 -1.36239911632519
"64" "gar_app_3" "garrett_apple" "garrett" "apple" 0 21.0526315789474 42.1052631578947 0 21.0526315789474 10.5263157894737 0 0 5.26315789473684 0 36.8421052631579 -0.348320806844769 -0.256992430674232 -0.481266710939811 -0.112429753349379 1.47636406141703
"65" "gar_app_4" "garrett_apple" "garrett" "apple" 0 0 8.33333333333333 8.33333333333333 0 58.3333333333333 0 0 0 25 91.6666666666667 1.01183444239499 -1.36403674742477 0.802111184899685 -1.31168045574276 -0.243470564514387
"66" "gar_app_5" "garrett_apple" "garrett" "apple" 6.66666666666667 6.66666666666667 46.6666666666667 0 0 26.6666666666667 0 0 6.66666666666667 6.66666666666667 46.6666666666667 -0.845865100110727 -0.415141618781452 -0.481266710939811 -1.01186778014441 1.24843417123334
"67" "gar_app_6" "garrett_apple" "garrett" "apple" 0 20 57.5 0 0 12.5 0 0 2.5 7.5 22.5 1.79543873229768 2.11524539093406 0.160422236979937 1.086820949044 0.523202702467087
"68" "gar_app_7" "garrett_apple" "garrett" "apple" 0 29.6296296296296 25.9259259259259 0 3.7037037037037 18.5185185185185 3.7037037037037 0 18.5185185185185 0 44.4444444444444 -0.910782945048272 -0.415141618781452 1.12295565885956 1.086820949044 -0.885818436850215
"69" "gar_app_8" "garrett_apple" "garrett" "apple" 8.33333333333333 4.16666666666667 45.8333333333333 4.16666666666667 12.5 16.6666666666667 4.16666666666667 0 4.16666666666667 0 50 -0.434718748839607 0.217455133647427 1.12295565885956 -1.01186778014441 -0.409237757375246
"70" "gar_bea_1" "garrett_field_bean" "garrett" "field_bean" 0 0.769230769230769 98.4615384615385 0 0 0.769230769230769 0 0 0 0 0.769230769230769 0.695022112856795 1.96148564314587 -0.935414346693485 -0.532447180478965 -0.792981177195907
"71" "gar_bea_2" "garrett_field_bean" "garrett" "field_bean" 0 0 95 0 0 2.5 0 2.5 0 0 5 -0.52441306302072 -0.224690305871199 0.935414346693485 -0.650768776140958 -0.764761206477192
"72" "gar_bea_3" "garrett_field_bean" "garrett" "field_bean" 0 30.7692307692308 61.5384615384615 3.84615384615385 0 3.84615384615385 0 0 0 0 7.69230769230769 -0.786200064080664 -0.759088871186483 0.935414346693485 0.295803989154981 -0.369681616415174
"73" "gar_bea_4" "garrett_field_bean" "garrett" "field_bean" 0 0 97.4358974358974 0 0 0 0 0 0 2.56410256410256 2.56410256410256 0.135648178968027 -0.224690305871199 -0.935414346693485 -0.650768776140958 1.93871198837576
"74" "gar_bea_5" "garrett_field_bean" "garrett" "field_bean" 0 9.52380952380952 85.7142857142857 2.38095238095238 0 0 0 0 0 2.38095238095238 4.76190476190476 0.0304858793969379 -0.273271993627134 0.935414346693485 -0.177482393492988 0.826845142058366
"75" "gar_bea_6" "garrett_field_bean" "garrett" "field_bean" 0 50 33.3333333333333 0 8.33333333333333 8.33333333333333 0 0 0 0 16.6666666666667 0.737534531832341 -1.05057899772209 0.935414346693485 0.0591607978309962 -0.809913159627137
"76" "gar_bea_7" "garrett_field_bean" "garrett" "field_bean" 0 46.2962962962963 51.8518518518518 0 0 0 0 0 0 1.85185185185185 1.85185185185185 1.44010819279663 -0.467598744650874 -0.935414346693485 2.30727111540885 -0.539001440727467
"77" "gar_bea_8" "garrett_field_bean" "garrett" "field_bean" 0 0 98.9010989010989 1.0989010989011 0 0 0 0 0 0 1.0989010989011 -1.72818576874935 1.03843357578311 -0.935414346693485 -0.650768776140958 0.510781470008752
"78" "gar_bna_1" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 9.72222222222222 4.16666666666667 0 5.55555555555556 77.7777777777778 0 1.38888888888889 0 1.38888888888889 86.1111111111111 NA -0.688568937757787 -0.96086770126034 0.221171062981195 0.207055520650891
"79" "gar_bna_2" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 0 10.4651162790698 0 4.65116279069767 79.0697674418605 0 1.16279069767442 0 4.65116279069767 89.5348837209302 NA 0.158900524097951 -0.725553162176175 -0.731565823707028 -0.848593183754239
"80" "gar_bna_3" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 8.69565217391304 7.97101449275362 0 2.89855072463768 73.9130434782609 0 0 0 6.52173913043478 83.3333333333333 NA 0.44139034471653 -0.129422996496291 0.90169741061564 -0.841296072894296
"81" "gar_bna_4" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 0 5.73248407643312 0 13.3757961783439 74.5222929936306 0 0 0 6.36942675159236 94.2675159235669 NA 0.158900524097951 0.388268989488872 -0.731565823707028 0.902713422632152
"82" "gar_bna_5" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 5.97014925373134 34.3283582089552 0 2.98507462686567 46.2686567164179 0 0 0 10.4477611940298 59.7014925373134 NA 2.13632926842801 -1.30599569191711 -0.187144745599472 -0.768324964294863
"83" "gar_bna_6" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 0 3.10077519379845 0 2.32558139534884 92.2480620155039 0 0.775193798449612 0 1.55038759689922 96.8992248062015 NA -0.547324027448498 0.0274533628931526 -0.731565823707028 0.345700626989813
"84" "gar_bna_7" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 0 0.462962962962963 0 7.40740740740741 89.8148148148148 0 0.462962962962963 0 1.85185185185185 99.537037037037 NA -0.971058758376367 1.43934059739814 -0.731565823707028 -0.821837110601114
"85" "gar_bna_8" "Garratt_potts_Brassica_napus" "Garratt_potts" "Brassica_napus" 0 8.81057268722467 1.3215859030837 0 31.2775330396476 52.863436123348 0 0.440528634361234 0 5.2863436123348 89.8678414096916 NA -0.688568937757787 1.26677660206975 1.99053956683075 1.82458176127165
"86" "gar_str_1" "garrett_strawberry" "garrett" "strawberry" 0 33.3333333333333 66.6666666666667 0 0 0 0 0 0 0 0 -0.196498872732666 -0.996089773611766 -1.4317602620108 -1.29496967238063 -0.822858364113038
"87" "gar_str_2" "garrett_strawberry" "garrett" "strawberry" 0 36.4928909952607 61.1374407582938 0 0.4739336492891 0 0 0 0 1.8957345971564 2.3696682464455 -0.121540174687507 1.33577015723974 -0.351186479361139 0.362591508266577 -0.44886263172078
"88" "gar_str_3" "garrett_strawberry" "garrett" "strawberry" 0 82.0224719101124 16.2921348314607 0 0.561797752808989 1.12359550561798 0 0 0 0 1.68539325842697 -1.04835093408872 -0.500340024533099 -0.783415992421002 1.86748258016997 -1.39469241871279
"89" "gar_str_4" "garrett_strawberry" "garrett" "strawberry" 0 28.921568627451 67.156862745098 0 0 0 0 0 0 3.92156862745098 3.92156862745098 0.690690860558962 1.48265897178157 0.297157790228656 -0.0299887713603936 -0.573527875851533
"90" "gar_str_5" "garrett_strawberry" "garrett" "strawberry" 0 25.8064516129032 32.258064516129 0 0 0 0 0 0 41.9354838709677 41.9354838709677 1.83006307084537 -0.849200959069939 1.37773157287831 -1.14229956363681 0.789659467578218
"91" "gar_str_6" "garrett_strawberry" "garrett" "strawberry" 0 45.8333333333333 50 0 1.19047619047619 1.19047619047619 0 0 0 1.78571428571429 4.16666666666667 NA 0.509520575441963 0.0810430336987244 0.362591508266577 1.6948375445276
"92" "gar_str_7" "garrett_strawberry" "garrett" "strawberry" 0 66.1290322580645 12.9032258064516 0 1.61290322580645 6.45161290322581 0 0 0 12.9032258064516 20.9677419354839 -0.998556941815863 -0.885923162705395 1.37773157287831 -0.422569050987364 0.55929977733661
"93" "gar_str_8" "garrett_strawberry" "garrett" "strawberry" 0 57.3643410852713 39.5348837209302 0 0 0.775193798449612 0 0 0 2.32558139534884 3.10077519379845 -0.15580700807958 -0.0963957845430741 -0.567301235891071 0.297161461662082 0.196144500955722
"94" "hip_min_1" "Hipolito_Mangifera_indica" "Hipolito" "Mangifera_indica" 0 0.144927536231884 0.289855072463768 8.84057971014493 4.34782608695652 84.4927536231884 0 1.59420289855072 0 0.289855072463768 99.5652173913043 NA -0.475293187893358 1.4657776304716 -1.20096115353815 NA
"95" "hip_min_2" "Hipolito_Mangifera_indica" "Hipolito" "Mangifera_indica" 0 11.0344827586207 0.689655172413793 40.6896551724138 3.44827586206897 38.6206896551724 0 4.82758620689655 0 0.689655172413793 88.2758620689655 NA -0.855527738208045 -0.617807100446709 1.20096115353815 NA
"96" "hip_min_3" "Hipolito_Mangifera_indica" "Hipolito" "Mangifera_indica" 0 2.72373540856031 2.72373540856031 18.2879377431907 1.55642023346304 72.3735408560311 0 1.94552529182879 0 0.389105058365759 94.5525291828794 NA 1.42587956368008 -0.189162656697861 -0.240192230707631 NA
"97" "hip_min_4" "Hipolito_Mangifera_indica" "Hipolito" "Mangifera_indica" 0 7.69230769230769 2.30769230769231 11.5384615384615 0 78.4615384615385 0 0 0 0 90 NA -0.0950586375786717 -0.658807873327033 0.240192230707631 NA
"98" "how_ace_1" "Howlett_Allium_cepa" "Howlett" "Allium_cepa" 0 62.6890756302521 1.68067226890756 0 1.68067226890756 30.5882352941176 0.840336134453782 0.168067226890756 0.336134453781513 2.01680672268908 35.6302521008403 NA -0.87929969262025 -0.0847252125759558 -0.483753889826541 NA
"99" "how_ace_10" "Howlett_Allium_cepa" "Howlett" "Allium_cepa" 0 51.3333333333333 1.66666666666667 0 0.333333333333333 42.3333333333333 0 0 0 4.33333333333333 47 NA -0.929003169592617 -0.597673980186975 -0.900848779086433 NA
"100" "how_ace_11" "Howlett_Allium_cepa" "Howlett" "Allium_cepa" 0 75.3810975609756 6.40243902439024 0 0.152439024390244 13.7957317073171 0 0 0 4.26829268292683 18.2164634146341 NA -0.143688233429208 0.110339811726826 0.689444520146488 NA
"101" "how_ace_2" "Howlett_Allium_cepa" "Howlett" "Allium_cepa" 0 48.2993197278912 2.04081632653061 0 6.34920634920635 36.9614512471655 0 0 0 6.34920634920635 49.6598639455782 NA -0.889240388014723 -0.0341527988678271 -0.788480749559795 NA
"102" "how_ace_3" "Howlett_Allium_cepa" "Howlett" "Allium_cepa" 0 41.0958904109589 25.280199252802 0 3.23785803237858 29.6388542963885 0 0.12453300124533 0 0.62266500622665 33.6239103362391 NA 1.03925451851314 0.334303358148539 -0.565649233379853 NA
"103" "how_ace_4" "Howlett_Allium_cepa" "Howlett" "Allium_cepa" 0 53.3426183844011 39.4150417827298 0 0.278551532033426 5.57103064066852 0.139275766016713 0.557103064066852 0 0.696378830083565 7.24233983286908 NA 1.83451015007102 -1.24066609733318 -0.464708461093213 NA
"104" "how_ace_5" "Howlett_Allium_cepa" "Howlett" "Allium_cepa" 0 36.1596009975062 44.6384039900249 0 0 16.7082294264339 0 0 0.249376558603491 2.24438902743142 19.2019950124688 NA 0.800677829045777 -1.06005033408987 -0.917989664946429 NA
